company,client,method,from,to,sample_size,con,lab,ld,ukip,grn,snp,pdf
BPIX,Mail on Sunday,,,2010-10-01,,0.41,0.37,0.13,,,,
Angus Reid,Sunday Express,,,2010-10-01,,0.35,0.38,0.16,,,,
ComRes,Independent,,,2010-10-01,,0.39,0.36,0.15,,,,
Opinium,,,,2010-10-02,,0.42,0.29,0.16,,,,
YouGov,Sun,,,2010-10-04,,0.41,0.39,0.12,,,,
YouGov,Sun,,,2010-10-05,,0.43,0.39,0.11,,,,
YouGov,Sun,,,2010-10-06,,0.42,0.4,0.11,,,,
ICM,Sunday Telegraph,,,2010-10-07,,0.38,0.34,0.18,,,,
YouGov,Sun,,,2010-10-07,,0.42,0.38,0.12,,,,
YouGov,Sunday Times,,,2010-10-08,,0.42,0.38,0.12,,,,
Opinium,,,,2010-10-09,,0.4,0.3,0.15,,,,
YouGov,Sun,,,2010-10-11,,0.42,0.38,0.12,,,,
YouGov,Sun,,,2010-10-12,,0.43,0.36,0.12,,,,
YouGov,Sun,,,2010-10-13,,0.41,0.4,0.11,,,,
YouGov,Sun,,,2010-10-14,,0.42,0.38,0.12,,,,
ComRes,Independent on Sunday,,,2010-10-15,,0.4,0.34,0.14,,,,
Opinium,,,,2010-10-16,,0.41,0.3,0.15,,,,
YouGov,Sunday Times,,,2010-10-17,,0.41,0.39,0.11,,,,
Ipsos MORI,Reuters,,,2010-10-17,,0.39,0.36,0.14,,,,
YouGov,Sun,,,2010-10-18,,0.41,0.39,0.12,,,,
YouGov,Sun,,,2010-10-19,,0.42,0.39,0.11,,,,
YouGov,Sun,,,2010-10-20,,0.41,0.39,0.11,,,,
YouGov,Sun,,,2010-10-21,,0.41,0.4,0.1,,,,
ICM,News of the World,,,2010-10-22,,0.4,0.36,0.16,,,,
YouGov,Sunday Times,,,2010-10-22,,0.41,0.4,0.1,,,,
Opinium,,,,2010-10-23,,0.4,0.29,0.15,,,,
ICM,Guardian,,,2010-10-24,,0.39,0.36,0.16,,,,
Populus,Times,,,2010-10-24,,0.37,0.38,0.15,,,,
YouGov,Sun,,,2010-10-25,,0.4,0.4,0.11,,,,
YouGov,Sun,,,2010-10-26,,0.4,0.38,0.12,,,,
YouGov,Sun,,,2010-10-27,,0.41,0.39,0.12,,,,
YouGov,Sun,,,2010-10-28,,0.41,0.39,0.11,,,,
Angus Reid,,,,2010-10-28,,0.35,0.37,0.15,,,,
YouGov,Sunday Times,,,2010-10-29,,0.42,0.37,0.13,,,,
Opinium,,,,2010-10-29,,0.38,0.35,0.13,,,,
Opinium,,,,2010-10-30,,0.41,0.3,0.15,,,,
ComRes,Independent,,,2010-10-30,,0.35,0.37,0.16,,,,
YouGov,Sun,,,2010-11-01,,0.41,0.39,0.11,,,,
YouGov,Sun,,,2010-11-02,,0.41,0.4,0.11,,,,
YouGov,Sun,,,2010-11-03,,0.4,0.4,0.09,,,,
YouGov,Sun,,,2010-11-04,,0.4,0.39,0.11,,,,
YouGov,Sunday Times,,,2010-11-05,,0.4,0.39,0.12,,,,
Opinium,,,,2010-11-06,,0.4,0.29,0.14,,,,
YouGov,Sun,,,2010-11-08,,0.42,0.39,0.11,,,,
YouGov,Sun,,,2010-11-09,,0.4,0.39,0.13,,,,
Opinium,,,,2010-11-09,,0.39,0.33,0.14,,,,
YouGov,Sun,,,2010-11-10,,0.42,0.37,0.11,,,,
YouGov,Sun,,,2010-11-11,,0.4,0.4,0.1,,,,
YouGov,Sunday Times,,,2010-11-12,,0.39,0.41,0.1,,,,
Opinium,,,,2010-11-13,,0.39,0.29,0.16,,,,
Ipsos MORI,Reuters,,,2010-11-14,,0.36,0.39,0.14,,,,
YouGov,Sun,,,2010-11-15,,0.4,0.42,0.1,,,,
YouGov,Sun,,,2010-11-16,,0.37,0.42,0.1,,,,
YouGov,Sun,,,2010-11-17,,0.4,0.4,0.11,,,,
Opinium,,,,2010-11-17,,0.38,0.34,0.13,,,,
YouGov,Sun,,,2010-11-18,,0.4,0.4,0.11,,,,
YouGov,Sunday Times,,,2010-11-19,,0.4,0.38,0.11,,,,
ComRes,Independent on Sunday,,,2010-11-19,,0.37,0.38,0.13,,,,
Opinium,,,,2010-11-20,,0.38,0.3,0.12,,,,
ICM,Guardian,,,2010-11-21,,0.36,0.38,0.14,,,,
YouGov,Sun,,,2010-11-22,,0.41,0.38,0.11,,,,
YouGov,Sun,,,2010-11-23,,0.42,0.4,0.1,,,,
YouGov,Sun,,,2010-11-24,,0.4,0.4,0.09,,,,
YouGov,Sun,,,2010-11-25,,0.42,0.39,0.1,,,,
YouGov,Sunday Times,,,2010-11-26,,0.4,0.4,0.09,,,,
Opinium,,,,2010-11-26,,0.37,0.35,0.14,,,,
Opinium,,,,2010-11-27,,0.39,0.32,0.17,,,,
ComRes,Independent,,,2010-11-29,,0.36,0.4,0.12,,,,
YouGov,Sun,,,2010-11-29,,0.4,0.4,0.1,,,,
Angus Reid,PoliticalBetting,,,2010-11-30,,0.35,0.4,0.13,,,,
YouGov,Sun,,,2010-11-30,,0.4,0.4,0.1,,,,
YouGov,Sun,,,2010-12-01,,0.41,0.38,0.11,,,,
YouGov,Sun,,,2010-12-02,,0.4,0.4,0.11,,,,
Opinium,,,,2010-12-02,,0.38,0.34,0.13,,,,
YouGov,Sunday Times,,,2010-12-03,,0.41,0.39,0.1,,,,
Opinium,,,,2010-12-04,,0.37,0.3,0.12,,,,
YouGov,Sun,,,2010-12-06,,0.42,0.39,0.1,,,,
YouGov,Sun,,,2010-12-07,,0.42,0.39,0.09,,,,
YouGov,Sun,,,2010-12-08,,0.41,0.41,0.08,,,,
Opinium,,,,2010-12-08,,0.38,0.37,0.11,,,,
YouGov,Sun,,,2010-12-09,,0.41,0.39,0.11,,,,
YouGov,Sunday Times,,,2010-12-10,,0.4,0.42,0.09,,,,
Opinium,,,,2010-12-10,,0.37,0.36,0.12,,,,
Ipsos MORI,Reuters,,,2010-12-12,,0.38,0.39,0.11,,,,
YouGov,Sun,,,2010-12-13,,0.41,0.42,0.09,,,,
YouGov,Sun,,,2010-12-14,,0.39,0.42,0.09,,,,
YouGov,Sun,,,2010-12-15,,0.42,0.4,0.08,,,,
YouGov,Sun,,,2010-12-16,,0.41,0.41,0.09,,,,
ComRes,Independent on Sunday,,,2010-12-16,,0.37,0.39,0.11,,,,
Opinium,,,,2010-12-17,,0.37,0.37,0.12,,,,
Opinium,,,,2010-12-18,,0.38,0.28,0.15,,,,
ICM,Guardian,,,2010-12-19,,0.37,0.39,0.13,,,,
YouGov,Sunday Times,,,2010-12-19,,0.39,0.42,0.09,,,,
YouGov,Sun,,,2010-12-20,,0.4,0.43,0.08,,,,
Angus Reid,,,,2010-12-20,,0.35,0.41,0.09,,,,
YouGov,Sun,,,2010-12-21,,0.4,0.42,0.09,,,,
YouGov,Sun,,,2010-12-22,,0.41,0.42,0.08,,,,
YouGov,Sun,,,2010-12-23,,0.39,0.41,0.09,,,,
Opinium,,,,2010-12-24,,0.39,0.32,0.13,,,,
YouGov,Sun,,,2011-01-04,,0.4,0.42,0.08,,,,
YouGov,Sun,,,2011-01-05,,0.4,0.41,0.1,,,,
Opinium,,,,2011-01-05,,0.37,0.39,0.11,,,,
YouGov,Sun,,,2011-01-06,,0.39,0.43,0.07,,,,
Angus Reid,,,,2011-01-06,,0.35,0.4,0.12,,,,
YouGov,Sunday Times,,,2011-01-07,,0.38,0.41,0.1,,,,
ComRes,Independent,,,2011-01-09,,0.34,0.42,0.12,,,,
YouGov,Sun,,,2011-01-10,,0.4,0.43,0.08,,,,
YouGov,Sun,,,2011-01-11,,0.4,0.41,0.07,,,,
YouGov,Sun,,,2011-01-12,,0.36,0.43,0.09,,,,
YouGov,Sun,,,2011-01-13,,0.41,0.41,0.08,,,,
ComRes,Independent on Sunday,,,2011-01-13,,0.36,0.4,0.1,,,,
YouGov,Sunday Times,,,2011-01-14,,0.37,0.43,0.09,,,,
Opinium,,,,2011-01-14,,0.35,0.38,0.12,,,,
YouGov,Sun,,,2011-01-17,,0.37,0.42,0.09,,,,
YouGov,Sun,,,2011-01-18,,0.39,0.44,0.08,,,,
YouGov,Sun,,,2011-01-19,,0.37,0.42,0.09,,,,
YouGov,Sun,,,2011-01-20,,0.36,0.43,0.1,,,,
YouGov,Sunday Times,,,2011-01-21,,0.39,0.43,0.09,,,,
ICM,Guardian,,,2011-01-23,,0.35,0.39,0.15,,,,
Ipsos MORI,Reuters,,,2011-01-24,,0.33,0.43,0.13,,,,
YouGov,Sun,,,2011-01-24,,0.37,0.42,0.11,,,,
Angus Reid,,,,2011-01-25,,0.33,0.41,0.12,,,,
YouGov,Sun,,,2011-01-25,,0.37,0.43,0.1,,,,
Opinium,,,,2011-01-25,,0.34,0.38,0.12,,,,
YouGov,Sun,,,2011-01-26,,0.39,0.41,0.1,,,,
YouGov,Sun,,,2011-01-27,,0.38,0.44,0.08,,,,
YouGov,Sunday Times,,,2011-01-28,,0.39,0.43,0.08,,,,
Angus Reid,Sunday Express,,,2011-01-28,,0.32,0.43,0.11,,,,
ComRes,Independent,,,2011-01-30,,0.34,0.43,0.1,,,,
YouGov,Sun,,,2011-01-31,,0.4,0.42,0.08,,,,
YouGov,Sun,,,2011-02-01,,0.39,0.44,0.08,,,,
Opinium,,,,2011-02-02,,0.35,0.4,0.11,,,,
YouGov,Sun,,,2011-02-02,,0.36,0.44,0.09,,,,
YouGov,Sun,,,2011-02-03,,0.37,0.44,0.09,,,,
YouGov,Sunday Times,,,2011-02-04,,0.36,0.42,0.1,,,,
Populus,Times,,,2011-02-06,,0.36,0.39,0.11,,,,
YouGov,Sun,,,2011-02-07,,0.37,0.43,0.09,,,,
YouGov,Sun,,,2011-02-08,,0.35,0.43,0.1,,,,
Opinium,,,,2011-02-08,,0.36,0.38,0.11,,,,
YouGov,Sun,,,2011-02-09,,0.36,0.43,0.1,,,,
YouGov,Sun,,,2011-02-10,,0.35,0.44,0.1,,,,
Angus Reid,,,,2011-02-10,,0.34,0.4,0.11,,,,
ComRes,Independent on Sunday,,,2011-02-10,,0.36,0.42,0.11,,,,
YouGov,Sunday Times,,,2011-02-11,,0.35,0.45,0.09,,,,
Ipsos MORI,Reuters,,,2011-02-12,,0.33,0.43,0.13,,,,
YouGov,Sun,,,2011-02-14,,0.36,0.44,0.1,,,,
YouGov,Sun,,,2011-02-15,,0.37,0.44,0.1,,,,
Opinium,,,,2011-02-15,,0.35,0.36,0.12,,,,
YouGov,Sun,,,2011-02-16,,0.35,0.45,0.1,,,,
YouGov,Sun,,,2011-02-17,,0.36,0.42,0.1,,,,
YouGov,Sunday Times,,,2011-02-18,,0.37,0.41,0.1,,,,
ICM,Guardian,,,2011-02-20,,0.35,0.38,0.18,,,,
YouGov,Sun,,,2011-02-21,,0.36,0.42,0.11,,,,
YouGov,Sun,,,2011-02-22,,0.37,0.43,0.09,,,,
YouGov,Sun,,,2011-02-23,,0.38,0.44,0.11,,,,
YouGov,Sun,,,2011-02-24,,0.38,0.42,0.1,,,,
Opinium,,,,2011-02-24,,0.36,0.38,0.11,,,,
YouGov,Sunday Times,,,2011-02-25,,0.36,0.44,0.1,,,,
ComRes,Independent,,,2011-02-27,,0.35,0.39,0.12,,,,
YouGov,Sun,,,2011-02-28,,0.36,0.43,0.1,,,,
YouGov,Sun,,,2011-03-01,,0.34,0.43,0.11,,,,
YouGov,Sun,,,2011-03-02,,0.36,0.41,0.11,,,,
YouGov,Sun,,,2011-03-03,,0.36,0.42,0.1,,,,
Angus Reid,,,,2011-03-04,,0.33,0.41,0.1,,,,
YouGov,Sunday Times,,,2011-03-04,,0.35,0.43,0.1,,,,
Populus,Times,,,2011-03-06,,0.35,0.41,0.11,,,,
YouGov,Sun,,,2011-03-07,,0.36,0.42,0.09,,,,
Opinium,,,,2011-03-07,,0.36,0.39,0.09,,,,
YouGov,Sun,,,2011-03-08,,0.36,0.44,0.1,,,,
YouGov,Sun,,,2011-03-09,,0.36,0.42,0.09,,,,
YouGov,Sun,,,2011-03-10,,0.34,0.45,0.09,,,,
ComRes,Independent on Sunday,,,2011-03-10,,0.37,0.4,0.11,,,,
YouGov,Sunday Times,,,2011-03-11,,0.33,0.44,0.1,,,,
Opinium,Express,,,2011-03-12,,0.39,0.28,0.16,,,,
Ipsos MORI,Reuters,,,2011-03-13,,0.37,0.41,0.1,,,,
YouGov,Sun,,,2011-03-14,,0.35,0.44,0.09,,,,
YouGov,Sun,,,2011-03-15,,0.35,0.45,0.09,,,,
YouGov,Sun,,,2011-03-16,,0.35,0.43,0.1,,,,
YouGov,Sun,,,2011-03-17,,0.35,0.43,0.1,,,,
Opinium,,,,2011-03-17,,0.35,0.39,0.11,,,,
YouGov,Sunday Times,,,2011-03-18,,0.37,0.43,0.09,,,,
Angus Reid,,,,2011-03-21,,0.32,0.41,0.1,,,,
YouGov,Sun,,,2011-03-21,,0.36,0.43,0.09,,,,
Opinium,,,,2011-03-21,,0.36,0.36,0.11,,,,
YouGov,Sun,,,2011-03-22,,0.35,0.42,0.09,,,,
YouGov,Sun,,,2011-03-23,,0.36,0.42,0.1,,,,
YouGov,Sun,,,2011-03-24,,0.37,0.41,0.11,,,,
ICM,Guardian,,,2011-03-24,,0.37,0.36,0.16,,,,
YouGov,Sunday Times,,,2011-03-25,,0.38,0.41,0.11,,,,
Opinium,,,,2011-03-25,,0.36,0.36,0.11,,,,
ComRes,Independent,,,2011-03-27,,0.35,0.41,0.13,,,,
YouGov,Sun,,,2011-03-28,,0.38,0.44,0.09,,,,
Opinium,,,,2011-03-28,,0.34,0.37,0.11,,,,
YouGov,Sun,,,2011-03-29,,0.36,0.42,0.1,,,,
YouGov,Sun,,,2011-03-30,,0.35,0.45,0.09,,,,
YouGov,Sun,,,2011-03-31,,0.35,0.42,0.1,,,,
YouGov,Sunday Times,,,2011-04-01,,0.36,0.42,0.11,,,,
YouGov,Sun,,,2011-04-04,,0.37,0.42,0.09,,,,
YouGov,Sun,,,2011-04-05,,0.37,0.42,0.09,,,,
YouGov,Sun,,,2011-04-06,,0.36,0.42,0.1,,,,
YouGov,Sun,,,2011-04-07,,0.35,0.44,0.1,,,,
YouGov,Sunday Times,,,2011-04-08,,0.36,0.43,0.09,,,,
Angus Reid,,,,2011-04-10,,0.31,0.42,0.11,,,,
Populus,Times,,,2011-04-10,,0.36,0.4,0.11,,,,
YouGov,Sun,,,2011-04-11,,0.36,0.42,0.1,,,,
YouGov,Sun,,,2011-04-12,,0.37,0.42,0.09,,,,
YouGov,Sun,,,2011-04-13,,0.35,0.44,0.1,,,,
YouGov,Sun,,,2011-04-14,,0.36,0.42,0.1,,,,
YouGov,Sunday Times,,,2011-04-15,,0.37,0.41,0.09,,,,
ComRes,Independent on Sunday,,,2011-04-15,,0.35,0.39,0.1,,,,
ICM,Guardian,,,2011-04-17,,0.35,0.37,0.15,,,,
Ipsos MORI,Reuters,,,2011-04-17,,0.4,0.4,0.09,,,,
YouGov,Sun,,,2011-04-18,,0.36,0.42,0.09,,,,
YouGov,Sun,,,2011-04-19,,0.36,0.43,0.09,,,,
YouGov,Sun,,,2011-04-20,,0.36,0.43,0.09,,,,
YouGov,Sun,,,2011-04-21,,0.36,0.42,0.1,,,,
YouGov,Sun,,,2011-04-26,,0.36,0.41,0.1,,,,
YouGov,Sun,,,2011-04-27,,0.36,0.42,0.1,,,,
YouGov,Sun,,,2011-04-28,,0.36,0.41,0.12,,,,
YouGov,Sunday Times,,,2011-04-29,,0.36,0.41,0.1,,,,
ComRes,Independent,,,2011-05-01,,0.34,0.37,0.15,,,,
Opinium,,,,2011-05-02,,0.35,0.37,0.11,,,,
YouGov,Sun,,,2011-05-03,,0.37,0.42,0.1,,,,
ICM,Guardian,,,2011-05-03,,0.36,0.37,0.15,,,,
YouGov,Sun,,,2011-05-04,,0.36,0.4,0.11,,,,
YouGov,Sun,,,2011-05-05,,0.37,0.39,0.1,,,,
YouGov,Sunday Times,,,2011-05-06,,0.36,0.41,0.1,,,,
Populus,Times,,,2011-05-08,,0.37,0.39,0.11,,,,
Opinium,,,,2011-05-09,,0.35,0.38,0.09,,,,
YouGov,Sun,,,2011-05-09,,0.38,0.42,0.08,,,,
YouGov,Sun,,,2011-05-10,,0.38,0.4,0.09,,,,
YouGov,Sun,,,2011-05-11,,0.36,0.42,0.08,,,,
YouGov,Sun,,,2011-05-12,,0.39,0.41,0.09,,,,
YouGov,Sunday Times,,,2011-05-13,,0.36,0.41,0.09,,,,
ComRes,Independent on Sunday,,,2011-05-15,,0.38,0.39,0.11,,,,
YouGov,Sun,,,2011-05-16,,0.38,0.41,0.1,,,,
YouGov,Sun,,,2011-05-17,,0.39,0.41,0.09,,,,
YouGov,Sun,,,2011-05-18,,0.36,0.42,0.09,,,,
YouGov,Sun,,,2011-05-19,,0.38,0.4,0.1,,,,
YouGov,Sunday Times,,,2011-05-20,,0.37,0.42,0.08,,,,
YouGov,Sun,,,2011-05-23,,0.38,0.42,0.1,,,,
YouGov,Sun,,,2011-05-24,,0.38,0.42,0.09,,,,
Ipsos MORI,Reuters,,,2011-05-24,,0.35,0.42,0.1,,,,
YouGov,Sun,,,2011-05-25,,0.37,0.41,0.1,,,,
YouGov,Sun,,,2011-05-26,,0.37,0.43,0.08,,,,
YouGov,Sunday Times,,,2011-05-27,,0.37,0.43,0.09,,,,
ComRes,Independent,,,2011-05-29,,0.37,0.37,0.12,,,,
YouGov,Sun,,,2011-05-31,,0.37,0.42,0.09,,,,
YouGov,Sun,,,2011-06-01,,0.39,0.41,0.09,,,,
YouGov,Sun,,,2011-06-02,,0.36,0.42,0.09,,,,
YouGov,Sunday Times,,,2011-06-03,,0.37,0.42,0.09,,,,
YouGov,Sun,,,2011-06-06,,0.37,0.43,0.09,,,,
YouGov,Sun,,,2011-06-07,,0.36,0.44,0.08,,,,
YouGov,Sun,,,2011-06-08,,0.37,0.42,0.09,,,,
YouGov,Sun,,,2011-06-09,,0.37,0.43,0.08,,,,
YouGov,Sunday Times,,,2011-06-10,,0.37,0.42,0.09,,,,
Populus,Times,,,2011-06-12,,0.39,0.4,0.09,,,,
YouGov,Sun,,,2011-06-13,,0.37,0.42,0.1,,,,
YouGov,Sun,,,2011-06-14,,0.37,0.42,0.1,,,,
YouGov,Sun,,,2011-06-15,,0.36,0.42,0.09,,,,
YouGov,Sun,,,2011-06-16,,0.37,0.43,0.09,,,,
ComRes,Independent on Sunday,,,2011-06-16,,0.37,0.37,0.11,,,,
YouGov,Sunday Times,,,2011-06-17,,0.37,0.42,0.1,,,,
ICM,Guardian,,,2011-06-19,,0.37,0.39,0.12,,,,
Ipsos MORI,Reuters,,,2011-06-19,,0.37,0.39,0.11,,,,
YouGov,Sun,,,2011-06-20,,0.37,0.43,0.09,,,,
YouGov,Sun,,,2011-06-21,,0.37,0.42,0.08,,,,
YouGov,Sun,,,2011-06-22,,0.36,0.42,0.09,,,,
YouGov,Sun,,,2011-06-23,,0.37,0.42,0.09,,,,
YouGov,Sunday Times,,,2011-06-24,,0.36,0.43,0.09,,,,
ComRes,Independent,,,2011-06-26,,0.36,0.4,0.11,,,,
YouGov,Sun,,,2011-06-27,,0.37,0.42,0.1,,,,
YouGov,Sun,,,2011-06-28,,0.36,0.43,0.08,,,,
YouGov,Sun,,,2011-06-29,,0.37,0.41,0.1,,,,
YouGov,Sun,,,2011-06-30,,0.37,0.42,0.08,,,,
YouGov,Sunday Times,,,2011-07-01,,0.36,0.42,0.09,,,,
YouGov,Sun,,,2011-07-04,,0.37,0.43,0.09,,,,
YouGov,Sun,,,2011-07-05,,0.35,0.43,0.1,,,,
YouGov,Sun,,,2011-07-06,,0.35,0.43,0.09,,,,
YouGov,Sun,,,2011-07-07,,0.37,0.43,0.08,,,,
YouGov,Sunday Times,,,2011-07-08,,0.35,0.44,0.08,,,,
YouGov,Sun,,,2011-07-11,,0.35,0.43,0.1,,,,
YouGov,Sun,,,2011-07-12,,0.37,0.42,0.09,,,,
YouGov,Sun,,,2011-07-13,,0.35,0.43,0.1,,,,
YouGov,Sun,,,2011-07-14,,0.36,0.43,0.09,,,,
ComRes,Independent on Sunday,,,2011-07-14,,0.36,0.4,0.1,,,,
YouGov,Sunday Times,,,2011-07-15,,0.36,0.42,0.11,,,,
ICM,Guardian,,,2011-07-17,,0.37,0.36,0.16,,,,
Populus,Times,,,2011-07-17,,0.34,0.39,0.11,,,,
YouGov,Sun,,,2011-07-18,,0.37,0.42,0.09,,,,
Ipsos MORI,Reuters,,,2011-07-18,,0.32,0.39,0.11,,,,
YouGov,Sun,,,2011-07-19,,0.36,0.43,0.08,,,,
YouGov,Sun,,,2011-07-20,,0.35,0.43,0.11,,,,
Angus Reid,,,,2011-07-20,,0.34,0.41,0.1,,,,
YouGov,Sun,,,2011-07-21,,0.36,0.44,0.09,,,,
YouGov,Sunday Times,,,2011-07-22,,0.35,0.43,0.1,,,,
ComRes,Independent,,,2011-07-24,,0.34,0.4,0.13,,,,
YouGov,Sun,,,2011-07-25,,0.37,0.41,0.1,,,,
YouGov,Sun,,,2011-07-26,,0.35,0.44,0.09,,,,
YouGov,Sun,,,2011-07-27,,0.36,0.43,0.08,,,,
YouGov,Sun,,,2011-07-28,,0.36,0.42,0.11,,,,
YouGov,Sunday Times,,,2011-07-29,,0.35,0.44,0.09,,,,
YouGov,Sun,,,2011-08-01,,0.35,0.42,0.11,,,,
YouGov,Sun,,,2011-08-02,,0.36,0.45,0.08,,,,
YouGov,Sun,,,2011-08-03,,0.35,0.43,0.1,,,,
YouGov,Sun,,,2011-08-04,,0.36,0.42,0.1,,,,
YouGov,Sunday Times,,,2011-08-05,,0.35,0.44,0.09,,,,
YouGov,Sun,,,2011-08-08,,0.36,0.44,0.09,,,,
YouGov,Sun,,,2011-08-09,,0.36,0.43,0.09,,,,
YouGov,Sun,,,2011-08-10,,0.36,0.43,0.09,,,,
YouGov,Sun,,,2011-08-11,,0.35,0.43,0.09,,,,
Opinium,,,,2011-08-11,,0.34,0.38,0.09,,,,
YouGov,Sunday Times,,,2011-08-12,,0.36,0.43,0.09,,,,
YouGov,Sun,,,2011-08-15,,0.35,0.43,0.09,,,,
YouGov,Sun,,,2011-08-16,,0.36,0.42,0.1,,,,
YouGov,Sun,,,2011-08-17,,0.35,0.44,0.09,,,,
YouGov,Sun,,,2011-08-18,,0.36,0.44,0.09,,,,
ComRes,Independent on Sunday,,,2011-08-18,,0.38,0.4,0.11,,,,
YouGov,Sunday Times,,,2011-08-19,,0.36,0.4,0.11,,,,
Opinium,,,,2011-08-19,,0.37,0.38,0.09,,,,
ICM,Guardian,,,2011-08-21,,0.37,0.36,0.17,,,,
Ipsos MORI,Reuters,,,2011-08-22,,0.34,0.4,0.15,,,,
YouGov,Sun,,,2011-08-22,,0.35,0.44,0.09,,,,
YouGov,Sun,,,2011-08-23,,0.37,0.44,0.09,,,,
YouGov,Sun,,,2011-08-24,,0.36,0.43,0.09,,,,
YouGov,Sun,,,2011-08-25,,0.37,0.42,0.09,,,,
YouGov,Sunday Times,,,2011-08-26,,0.38,0.41,0.09,,,,
YouGov,Sun,,,2011-08-30,,0.39,0.4,0.1,,,,
YouGov,Sun,,,2011-08-31,,0.37,0.42,0.1,,,,
YouGov,Sun,,,2011-09-01,,0.36,0.42,0.1,,,,
YouGov,Sunday Times,,,2011-09-02,,0.38,0.39,0.1,,,,
Angus Reid,,,,2011-09-02,,0.33,0.39,0.11,,,,
ComRes,Independent,,,2011-09-04,,0.37,0.38,0.11,,,,
Opinium,,,,2011-09-05,,0.36,0.37,0.09,,,,
YouGov,Sun,,,2011-09-05,,0.37,0.43,0.09,,,,
YouGov,Sun,,,2011-09-06,,0.38,0.4,0.09,,,,
YouGov,Sun,,,2011-09-07,,0.36,0.42,0.09,,,,
YouGov,Sun,,,2011-09-08,,0.36,0.42,0.1,,,,
YouGov,Sunday Times,,,2011-09-09,,0.38,0.41,0.09,,,,
Populus,Times,,,2011-09-11,,0.34,0.38,0.12,,,,
Ipsos MORI,Reuters,,,2011-09-12,,0.35,0.37,0.13,,,,
YouGov,Sun,,,2011-09-12,,0.37,0.41,0.1,,,,
YouGov,Sun,,,2011-09-13,,0.35,0.43,0.1,,,,
YouGov,Sun,,,2011-09-14,,0.37,0.41,0.1,,,,
YouGov,Sun,,,2011-09-15,,0.38,0.41,0.09,,,,
Opinium,,,,2011-09-15,,0.33,0.36,0.09,,,,
YouGov,Sunday Times,,,2011-09-16,,0.36,0.42,0.09,,,,
ComRes,Independent on Sunday,,,2011-09-16,,0.38,0.38,0.11,,,,
YouGov,Sun,,,2011-09-19,,0.36,0.42,0.1,,,,
YouGov,Sun,,,2011-09-20,,0.35,0.41,0.1,,,,
YouGov,Sun,,,2011-09-21,,0.35,0.41,0.09,,,,
ICM,Guardian,,,2011-09-21,,0.37,0.38,0.14,,,,
YouGov,Sun,,,2011-09-22,,0.36,0.42,0.1,,,,
YouGov,Sunday Times,,,2011-09-23,,0.36,0.42,0.11,,,,
ComRes,Independent,,,2011-09-24,,0.37,0.36,0.12,,,,
YouGov,Sun,,,2011-09-26,,0.39,0.41,0.08,,,,
YouGov,Sun,,,2011-09-27,,0.37,0.43,0.08,,,,
YouGov,Sun,,,2011-09-28,,0.37,0.43,0.09,,,,
YouGov,Sun,,,2011-09-29,,0.38,0.41,0.09,,,,
YouGov,Sunday Times,,,2011-09-30,,0.36,0.42,0.1,,,,
Opinium,,,,2011-09-30,,0.33,0.4,0.09,,,,
YouGov,Sun,,,2011-10-03,,0.37,0.42,0.09,,,,
YouGov,Sun,,,2011-10-04,,0.38,0.42,0.09,,,,
YouGov,Sun,,,2011-10-05,,0.37,0.41,0.09,,,,
YouGov,Sun,,,2011-10-06,,0.37,0.41,0.1,,,,
YouGov,Sunday Times,,,2011-10-07,,0.38,0.42,0.09,,,,
YouGov,Sun,,,2011-10-10,,0.36,0.4,0.11,,,,
Opinium,,,,2011-10-10,,0.36,0.37,0.08,,,,
YouGov,Sun,,,2011-10-11,,0.37,0.41,0.08,,,,
YouGov,Sun,,,2011-10-12,,0.36,0.42,0.09,,,,
YouGov,Sun,,,2011-10-13,,0.37,0.42,0.09,,,,
ComRes,Independent on Sunday,,,2011-10-13,,0.37,0.39,0.1,,,,
YouGov,Sunday Times,,,2011-10-14,,0.39,0.42,0.08,,,,
Populus,Times,,,2011-10-16,,0.33,0.41,0.08,,,,
YouGov,Sun,,,2011-10-17,,0.37,0.4,0.09,,,,
YouGov,Sun,,,2011-10-18,,0.38,0.42,0.09,,,,
YouGov,Sun,,,2011-10-19,,0.35,0.41,0.09,,,,
YouGov,Sun,,,2011-10-20,,0.36,0.41,0.1,,,,
YouGov,Sunday Times,,,2011-10-21,,0.36,0.38,0.1,,,,
ICM,Guardian,,,2011-10-23,,0.35,0.39,0.13,,,,
YouGov,Sun,,,2011-10-24,,0.36,0.4,0.09,,,,
Opinium,,,,2011-10-24,,0.33,0.39,0.09,,,,
Ipsos MORI,Reuters,,,2011-10-24,,0.34,0.38,0.12,,,,
YouGov,Sun,,,2011-10-25,,0.36,0.4,0.09,,,,
YouGov,Sun,,,2011-10-26,,0.35,0.41,0.1,,,,
YouGov,Sun,,,2011-10-27,,0.35,0.42,0.09,,,,
YouGov,Sunday Times,,,2011-10-28,,0.36,0.39,0.08,,,,
ComRes,Independent,,,2011-10-30,,0.34,0.38,0.14,,,,
YouGov,Sun,,,2011-10-31,,0.39,0.41,0.08,,,,
Kantar TNS,,,,2011-10-31,,0.36,0.37,0.11,,,,
YouGov,Sun,,,2011-11-01,,0.35,0.41,0.09,,,,
YouGov,Sun,,,2011-11-02,,0.37,0.41,0.08,,,,
YouGov,Sun,,,2011-11-03,,0.36,0.41,0.08,,,,
YouGov,Sunday Times,,,2011-11-04,,0.35,0.41,0.09,,,,
